dts,NSW_min,NSW_mean,VIC_min,VIC_mean,QLD_min,QLD_mean,SA_min,SA_mean,WA_min,WA_mean,TAS_min,TAS_mean,NT_min,NT_mean,ACT_min,ACT_mean
2002-02-04,0.0,0.01072871551213746,0.0,0.00046075819542127174,0.0,0.0012536365718377354,0.0,2.5995632060863847e-05,0.0,0.0003312802372231681,0.0,0.00012299290606146857,,,0.023392080567635615,0.03390604969913736
2002-02-05,0.0,0.02150666752171767,0.0,0.003628335047913494,0.0,0.0033526032105840008,0.0,0.0,0.0,0.00027967972264525187,0.0,2.2599758157476874e-06,,,0.06408789196612497,0.08059697988743536
2002-02-06,0.0,0.010604141857964431,0.0,0.0006882445055574314,0.0,0.005479117456576389,0.0,0.0,0.0,0.00010381479658778198,0.0,4.586913877887898e-06,,,0.010589761196307317,0.014898003499514144
2002-02-07,0.0,0.003974371864410287,0.0,0.0004151788708356753,0.0,0.0020661437404628983,0.0,3.188276741715289e-06,0.0,3.876425885996781e-07,0.0,0.00011746852073408534,,,0.008789196612497139,0.012026121433308432
2002-02-08,0.0,0.0019780217781035767,0.0,0.014912561355357078,0.0,0.005176767870205847,0.0,0.0004208572358499484,0.0,3.1951146696700745e-06,0.0,0.011147406043702658,,,0.00019836728465705348,0.004341275570389784
2002-02-09,0.0,0.0016200885591787966,0.0,0.004403793267607486,0.0,0.0016795375937598295,0.0,0.0001684774843249433,0.0,1.850112354680282e-07,0.0,0.0020796883376166153,,,0.000686655985351339,0.002514049618650214
2002-02-10,0.0,9.14262148404335e-05,0.0,0.0018652572339875433,0.0,5.665277864167264e-05,0.0,4.881710521060304e-05,0.0,3.083520591133803e-07,0.0,0.005932310962125693,,,0.0,0.0009832846637607452
2002-02-11,0.0,0.0012824727506501857,0.0,0.005519629841835129,0.0,3.077848894624811e-05,0.0,2.112968645062974e-05,0.0,7.752851771993562e-07,0.0,0.00036044940205015797,,,0.0026855878538185702,0.004980980719135903
2002-02-12,0.0,0.00019523759331795834,0.0,0.00027600538580854934,0.0,6.203871631248339e-05,0.0,0.0,0.0,7.736699997468576e-06,0.0,0.0004936289398440892,,,0.0,0.0
2002-02-13,0.0,0.00026433455485101016,0.0,3.4555258010121377e-06,0.0,0.001404689653726083,0.0,1.2353101766793555e-06,0.0,0.0007205497500204541,0.0,5.76377535823651e-05,,,0.0,0.0
2002-02-14,0.0,0.0002581128364873004,0.0,7.504274915502755e-06,0.0,0.01118643253021921,0.0,0.0,0.0,0.00011362332875386475,0.0,3.7867150334972364e-05,,,0.0,0.0
2002-02-15,0.0,0.0006610684135176742,0.0,0.00014994048816676034,0.0,0.003484277811295195,0.0,4.3532330626180496e-05,0.0,0.00015058446223958859,0.0,2.8124143484860105e-06,,,0.0,0.0
2002-02-16,0.0,0.010393303421329679,0.0,0.007308313480950362,0.0,0.0003036824527410354,0.0,0.0002901708310443329,0.0,6.57494690618045e-05,0.0,0.0021853882435472144,,,0.007995727473868924,0.01653692306015492
2002-02-17,0.0,0.00445258216306755,0.0,0.000307574753140829,0.0,0.0001869808949351656,0.0,0.0,0.0,4.619407514146165e-06,0.0,6.18814859474913e-05,,,0.007492179751277943,0.01776250757711046
2002-02-18,0.0,0.004665674773391587,0.0,4.724199770587362e-05,0.0,0.0004408093791031815,0.0,1.6800218402839236e-06,0.0,1.857454070373458e-06,0.0,1.2923713553757144e-05,,,9.155413138017853e-05,0.002182375494346197
2002-02-19,0.0,0.005614388399186474,0.0,5.233877467417622e-05,0.0,0.0005116079042822868,0.0,0.0,0.0,0.00039033259322965774,0.0,6.943984950904745e-05,,,0.0,0.0003528020007763656
2002-02-20,0.0,0.0003360097453073675,0.0,4.672787083419227e-05,0.0,0.00014796859419570908,0.0,0.00012998757219137965,0.0,3.2714685128791017e-06,0.0,0.00022978094849594632,,,0.0,2.8673546641044928e-05
2002-02-21,0.0,0.003940656617770712,0.0,0.004589749002272539,0.0,0.00017197380691181944,0.0,2.772271333644985e-05,0.0,6.981971624210113e-06,0.0005951018539711605,0.009815242373408188,,,0.0055848020141908905,0.00849826910710408
2002-02-22,0.0,0.00014925159727961884,0.0,0.00020420723860974162,0.0,0.00012433617552192104,0.0,8.442462693191481e-06,0.0,1.871843833132082e-05,0.0,0.0023435698100879544,,,0.0,3.018268067478413e-06
2002-02-23,0.0,6.105527506774745e-05,0.0,0.0001369999807202423,0.0,0.0012664562610282776,0.0,2.14355727800932e-06,0.0,3.2516458805075277e-05,0.0,0.00037033470367385437,,,0.0,0.0
2002-02-24,0.0,0.00022259894116942095,0.0,1.600549456615684e-05,0.0,0.0024935665791604995,0.0,0.0,0.0,1.2730535011966702e-06,0.0,2.8073921800065722e-05,,,0.0,0.0
2002-02-25,0.0,0.0038377179143532247,0.0,2.22030303494695e-05,0.0,0.00890182296967598,0.0,1.5529613649683327e-07,0.0,1.4037360405351983e-06,0.0,1.6949818618107654e-05,,,0.0,0.0
2002-02-26,0.0,0.010161703419646867,0.0,0.0007534611696617027,0.0,0.009453891794469484,0.0,3.2019239779528894e-05,0.0,1.27554968453235e-05,0.0,8.420502483859903e-06,,,0.0,0.00013900801266331135
2002-02-27,0.0,0.0011387705992531724,0.0,0.00031899100624021486,0.0,0.00818667973182116,0.0,1.8259060897203428e-06,0.0,0.00012646692618750637,0.0,0.0013412203141190606,,,0.0,4.7956925961045896e-05
2002-02-28,0.0,0.0007905235049768628,0.0,4.185520045098155e-05,0.0,0.000638022534259347,0.0,6.11772658926919e-07,0.0,6.678905600395819e-05,0.0,0.0003210337497673585,,,0.0,0.0001131850525304405
2002-03-01,0.0,0.0011259967114647443,0.0,0.0004279150458075508,0.0,0.0025251417238684234,0.0,0.0001049825412436244,0.0,4.3110554550327836e-06,0.0,0.0006459847909486797,,,0.0,0.0
2002-03-02,0.0,0.0005702313254075108,0.0,0.00032531872158398533,0.0,0.004193718491881619,0.0,3.8913447051282256e-05,0.0,4.2947568461939346e-05,0.0,0.00028015329834472257,,,0.0,0.0
2002-03-03,0.0,0.0007300943103064233,0.0,0.00036923372520676715,0.0,0.0043705539416467355,0.0,4.4346458856906314e-05,0.0,0.0006117499284770056,0.0,8.45398360705616e-05,,,0.0,0.0
2002-03-04,0.0,0.00021869038023276713,0.0,5.627547049612089e-05,0.0,0.00067593858219855,0.0,1.1774270712578088e-05,0.0,0.0007715306237938663,0.0,6.085194140920625e-06,,,0.0,6.958784711130785e-05
